Food,Hour,Calories,Carb (g),Sugar (g),Protein (g)
Natrel Lactose Free 2 Percent,07:10:00,120.0,9.0,8.0,12.0
Standard Breakfast,07:10:00,110.0,26.0,10.0,1.0
Breakfast Trail Mix,09:38:00,280.0,30.0,22.0,4.0
Spinach Smoothie,07:30:00,308.0,69.0,38.0,7.2
Hot Chocolate,08:49:00,151.0,32.0,25.0,2.5
Maple Brown Sugar Oatmeal,06:42:00,158.0,33.0,13.0,4.0
Green Smoothie,07:37:00,308.0,69.0,38.0,7.2
Bagel,07:37:00,139.0,27.0,4.4,5.5
Corn Flakes,05:39:00,110.0,26.0,10.0,1.0
Mello Yello,06:30:00,180.0,48.0,48.0,0.0
JD Sausage Biscuit,08:42:00,410.0,26.0,4.0,12.0
Boost,08:00:00,654.0,82.0,40.0,26.0
Milk,05:30:00,60.0,4.5,4.0,6.0
Cornflakes,05:30:00,220.0,52.0,20.0,2.0
Apples,09:00:00,29.0,7.8,5.9,0.1
Boost ,08:30:00,654.0,82.0,40.0,26.0
Frosted Flakes,08:00:00,220.0,52.0,20.0,2.0
Coffee,08:30:00,358.0,70.0,1.3,13.0
Peach,08:15:00,68.0,17.0,15.0,1.6
Banana,08:15:00,105.0,27.0,14.0,1.3
Creamer,09:00:00,7.7,0.7,0.0,0.1
Sugar,09:00:00,33.0,8.5,8.5,0.0
Eggs,09:00:00,143.0,0.7,0.4,13.0
Peppers,09:00:00,11.0,2.7,1.0,0.4
Onions,09:00:00,30.0,6.9,3.2,0.9
Cheese,09:00:00,113.0,0.9,0.1,6.4
Sausage,09:00:00,420.0,1.3,1.3,16.0
Quest Bar cookie dough,08:10:00,45.0,5.8,0.1,5.0
Std breakfast,05:15:00,280.0,56.5,24.0,8.0
Premier protein choc shake,09:50:00,160.0,5.0,1.0,30.0
1/4 blueberry pancake,08:20:00,84.0,11.0,0.0,2.3
Grits,08:20:00,151.0,32.0,0.2,2.9
Bacon,08:20:00,107.0,0.4,0.0,8.0
Mini Croissants,08:56:00,227.0,26.0,6.3,4.6
Turkey Bacon,08:56:00,60.0,0.7,0.7,4.8
Avocado,08:56:00,161.0,8.6,0.7,2.0
Oatmeal Margarine,09:55:00,141.0,24.0,0.5,5.0
Splenda/Sugar Blend,09:55:00,3.4,0.9,0.8,0.0
Boiled Eggs,08:50:00,143.0,0.7,0.4,13.0
(Dunkin Coffee) Coffee,09:15:00,3.6,0.0,0.0,0.4
Cream,08:20:00,57.0,0.8,1.1,0.9
(Florida's Natural) Orange Juice,09:35:00,110.0,26.0,22.0,2.0
Fried Egg,08:10:00,90.0,0.4,0.2,6.3
Whole Wheat Toast,08:10:00,153.0,26.0,2.9,8.1
(Blue Diamond) almonds lightly salted,09:00:00,72.9,2.1,0.4,2.6
Hard Boiled Egg,05:40:00,156.0,1.1,1.1,12.6
2% Milk,05:47:00,40.4,3.8,4.1,2.7
(Fage) Greek Yogurt plain nonfat,08:05:00,220.0,9.0,9.0,20.0
Mixed Berries,08:05:00,65.0,15.0,8.7,1.4
(Kashi) Go Rise Cereal,08:05:00,72.0,16.0,3.2,4.8
Half and half,09:15:00,18.0,0.7,0.6,0.5
Eggo Waffle,05:17:00,70.0,14.0,1.5,2.0
Peanut Butter,05:17:00,94.0,3.9,1.1,3.5
Plain Bagel,09:44:00,277.0,55.0,8.9,11.0
Cream Cheese,09:44:00,51.0,0.8,0.6,0.9
Std Bfast,05:30:00,280.0,56.5,24.0,8.0
Breakfast Essential Drink,06:00:00,214.0,37.0,37.0,16.0
Toast,08:00:00,192.0,36.0,4.2,6.0
Mountain Dew,08:00:00,110.0,31.0,31.0,0.0
Apple,09:50:00,95.0,25.0,19.0,0.5
Sausage Biscuit,05:50:00,824.0,66.0,3.6,22.0
Pecan Twirl,09:45:00,100.0,16.0,7.0,1.0
Honey Nut Cheerios,05:30:00,140.0,30.0,12.0,3.3
(Pillsbury) Cinammon Rolls ,08:00:00,2245.0,363.0,145.0,30.0
Frosted Flake,05:24:00,220.0,52.0,20.0,2.0
Egg,07:30:00,143.0,0.7,0.4,13.0
Half and Half,09:20:00,37.0,1.4,1.2,0.9
MCT,05:25:00,121.0,0.0,0.0,0.0
Toast Butter Cheese Mayo,06:53:00,111.0,14.0,1.6,2.6
Butter,07:40:00,102.0,0.0,0.0,0.1
MCT Oil,05:30:00,121.0,0.0,0.0,0.0
Yogurt,06:00:00,107.0,12.0,12.0,8.9
Black Berries,06:00:00,62.0,14.0,7.0,2.0
Blue Berries,06:00:00,84.0,21.0,15.0,1.1
Kashi,06:00:00,264.0,57.0,14.0,21.0
Toast - Butter Cheese Mayo,07:21:00,111.0,14.0,1.6,2.6
Quest Protein Bar Double Chocolate Chunk,09:49:00,160.0,25.0,1.0,20.0
Quest Protein Bar White,09:20:00,100.0,10.5,1.0,10.0
Pepsi,09:10:00,150.0,41.0,41.0,0.0
Lifesaver Gummies (wild berries),09:10:00,65.0,15.5,13.0,0.5
Uncle Al's Strawberry Cremes Cookies,09:10:00,120.0,19.0,9.0,1.0
Special K with strawberries,07:50:00,220.0,54.0,18.0,4.0
Oreo's Peppermint Bark,09:28:00,288.0,36.0,32.0,2.8
Quest Protein Bar Birthday Cake,06:00:00,160.0,25.0,1.0,20.0
Sun Chips Garden Salsa,09:18:00,140.0,19.0,2.0,2.0
M&M's,09:10:00,236.0,34.0,31.0,2.0
Sathers Caramel Creams,09:10:00,94.0,17.0,9.0,0.7
